BlockGroupID,total_reg,party_dem,party_npp,party_rep,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_99,eth2_64,eth2_93,eth2_23,eth2_10,eth2_30,eth2_21,eth2_14,eth2_81,eth2_34,eth2_32,eth2_12,eth2_29,eth2_61,eth2_35,eth2_85,eth2_33,eth2_15,eth2_66,eth2_55,eth2_19,eth2_38,eth2_26,eth2_13,eth2_59,eth2_unk
130630404072,958,704,181,73,0,0,141,68,650,78,4,17,141,576,68,74,2,18,1,51,3,3,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,17
130630404073,1067,886,150,31,0,0,54,47,861,85,7,13,54,767,47,94,2,14,4,60,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,13
130630404091,783,588,140,55,0,0,106,61,540,66,1,9,106,469,61,71,4,15,0,43,1,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,9
130630404092,1282,1070,152,60,0,0,83,54,1020,104,9,12,83,913,53,107,8,26,1,61,7,8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,12
130630404093,707,374,259,74,0,0,141,73,317,154,2,20,141,288,73,29,0,28,0,120,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20
130630404094,1007,829,141,37,0,0,99,29,798,52,7,22,99,695,29,103,3,4,1,39,3,4,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,22
130630404101,1063,863,157,43,0,0,108,77,836,30,4,8,108,756,77,80,0,5,0,22,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,8
130630404102,693,509,158,26,0,0,97,98,473,10,6,9,97,428,98,45,0,1,2,7,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9
130630404103,534,422,93,19,0,0,66,17,424,23,0,4,66,391,17,33,0,6,0,13,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,4
130630404104,1585,1397,156,32,0,0,91,101,1359,10,8,16,91,1216,101,143,2,2,1,5,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
130630404105,560,455,66,39,0,0,95,28,422,3,7,5,95,376,28,46,1,1,1,1,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5
130630404141,1166,714,378,74,0,0,224,230,630,41,15,26,224,590,230,40,5,7,3,19,0,11,0,0,0,1,0,0,0,0,3,0,0,5,0,0,2,0,26
130630404161,1192,706,390,96,0,0,238,204,617,92,12,29,238,572,203,45,0,19,3,57,4,9,0,0,0,0,0,0,0,0,5,1,0,6,0,0,1,0,29
130630404162,794,550,202,42,0,0,117,131,500,26,5,15,117,440,131,60,7,3,0,12,1,3,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,15
130630404171,1089,998,86,5,0,0,51,39,981,8,5,5,51,866,39,115,1,1,0,1,2,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
130630404172,722,433,211,78,0,0,180,120,367,23,9,23,180,323,120,44,2,6,4,11,2,2,0,0,0,2,0,0,0,0,1,0,0,1,1,0,0,0,23
130630404173,921,867,50,4,0,0,24,27,850,7,6,7,24,756,27,94,4,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7
130630404174,231,217,14,0,0,0,7,7,214,0,3,0,7,184,7,30,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
130630404181,780,483,218,79,0,0,137,99,410,114,2,18,137,372,99,38,3,21,0,82,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,18
130630404182,235,173,51,11,0,0,27,8,163,28,3,6,27,150,8,13,0,8,1,18,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,6
