FULLCODE,total_reg,party_npp,party_dem,party_rep,party_lib,party_grn,party_ain,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
25009217102,2081,1311,522,219,7,1,2,13,0,1674,107,11,24,38,227
25009217201,2961,1863,750,309,16,0,3,16,0,2408,177,10,22,64,280
25009217202,2636,1659,729,219,3,2,2,20,0,2235,95,1,22,52,231
25009217300,3196,1960,915,259,20,2,3,33,0,2349,309,71,64,102,301
25009217401,1544,921,476,114,8,3,3,13,0,1234,83,6,25,34,162
25009217402,2337,1400,710,182,12,2,5,23,0,1838,133,12,20,52,282
25009217500,4613,2703,1519,353,14,8,1,10,0,3800,156,9,49,99,500
25009217601,3529,2263,847,377,14,0,2,21,0,2927,95,3,49,86,369
25009217602,1959,1156,514,250,15,2,2,18,0,1681,37,0,24,52,165
25009218100,4170,2555,987,590,8,2,4,18,0,3527,82,5,48,97,411
25009220101,3460,2201,930,288,13,6,4,17,0,2982,90,2,27,51,308
25009220102,2341,1528,616,172,7,1,2,11,0,2002,68,3,10,37,221
25009221100,3375,2104,957,273,12,1,3,19,0,2909,95,4,18,46,303
25009221300,3517,2188,978,319,10,3,2,15,0,2906,151,3,31,38,388
25009221400,1970,1247,532,159,5,2,2,17,0,1580,168,6,16,20,180
25009221500,1802,1065,570,141,9,1,0,13,0,1484,119,2,14,26,157
25009221600,1711,1112,439,141,7,0,1,9,0,1418,135,8,11,21,118
25009221700,1797,1145,511,116,8,1,2,13,0,1525,104,7,20,14,127
25009221800,1336,899,293,135,1,1,1,6,0,1117,70,0,15,24,110
25009221901,2770,1821,623,287,13,2,1,21,0,2370,106,1,26,47,220
25009221902,2781,1787,643,307,10,7,8,15,0,2354,97,8,17,54,251
25009222100,2745,1769,581,367,10,5,1,11,0,2372,76,1,22,30,244
25009223100,3423,2092,897,403,9,3,5,12,0,2974,79,5,23,55,287
25009223200,2784,1732,739,277,9,3,3,19,0,2351,61,3,32,58,279
25009223300,4762,3100,970,639,14,1,5,29,0,4032,137,5,66,79,443
25009250100,1976,812,1069,72,10,0,1,8,0,439,1396,18,27,15,81
25009250200,2695,1232,1290,136,12,2,0,22,0,528,1987,17,33,30,100
25009250300,958,422,495,34,3,0,1,3,0,76,821,5,12,7,37
25009250400,1506,618,823,48,8,0,0,9,0,128,1307,6,11,8,46
25009250500,1248,552,649,39,0,1,2,5,0,74,1115,0,4,11,44
25009250600,2419,1075,1209,111,10,0,0,10,0,322,1963,21,10,19,84
25009250700,2060,918,1043,76,9,1,1,10,0,203,1721,15,18,27,76
25009250800,3470,1706,1546,172,18,4,1,19,0,782,2368,35,38,62,185
25009250900,893,350,504,35,0,0,0,4,0,64,787,3,6,9,24
25009251000,778,336,408,28,0,1,0,5,0,74,673,4,2,1,24
25009251100,1535,614,847,64,2,0,1,7,0,244,1171,4,15,23,78
25009251200,615,280,302,29,1,0,0,3,0,56,520,3,1,15,20
25009251300,1581,674,824,66,7,0,0,8,0,170,1329,10,10,16,46
25009251400,2309,1033,1157,96,8,1,1,11,0,329,1806,18,24,26,106
25009251500,3435,1617,1602,180,7,5,2,22,0,613,2498,25,91,40,168
